 День недели , Дата , Максимальная температура , Минимальная температура , Облачность," Ветер, м/c "," Осадки,мм"
Ср,27 апр,+11,+3,"Переменная облачность, небольшой дождь",8 ,"0,8"
Чт,28,+8,0,"Переменная облачность, небольшой дождь",8 ,"0,8"
Пт,29,+10,0,"Переменная облачность, небольшой дождь",9 ,"1,2"
Сб,30,+6,0,"Переменная облачность, небольшой дождь",9 ,"0,9"
Вс,1 май,+10,0,Переменная облачность,5 ,0
Пн,2,+11,+2,Переменная облачность,6 ,0
Вт,3,+13,+5,"Переменная облачность, небольшой дождь",13 ,"2,6"
Ср,4,+11,+4,"Пасмурно, небольшой дождь",9 ,2
Чт,5,+11,+1,Переменная облачность,12 ,0
Пт,6,+8,+4,"Переменная облачность, дождь",14 ,"4,2"
Сб,7,+11,0,Переменная облачность,11 ,0
Вс,8,+16,+6,"Пасмурно, дождь, гроза",15 ,"6,8"
Пн,9,+12,+7,"Пасмурно, дождь",10 ,"3,7"
Вт,10,+17,+5,Переменная облачность,7 ,0
